Protein_1	Protein_2	Interaction_label
ACTR5	ACTR8	1
ACTR5	INO80	1
ACTR5	INO80B	1
ACTR5	INO80C	1
ACTR5	MCRS1	1
ACTR5	RUVBL1	1
ACTR5	RUVBL2	1
ACTR5	TFPT	1
ACTR5	UCHL5	1
ACTR5	YY1	1
ACTR6	DMAP1	1
ACTR6	SRCAP	1
ACTR6	YEATS4	1
ACTR6	ZNHIT1	1
ACTR8	INO80	1
ACTR8	INO80B	1
ACTR8	INO80C	1
ACTR8	MCRS1	1
ACTR8	RUVBL1	1
ACTR8	RUVBL2	1
ACTR8	TFPT	1
ACTR8	UCHL5	1
ACTR8	YY1	1
ACVR1	ACVR1B	1
ACVR1	ACVR2A	1
ACVR1	BMP2	1
ACVR1	BMP7	1
ACVR1	BMPR1A	1
ACVR1	BMPR2	1
ACVR1	FKBP1A	1
ACVR1	FKBP1B	1
ACVR1	INHBA	1
ACVR1	INHBB	1
ACVR1	SMAD1	1
ACVR1	SMAD5	1
ACVR1	SMAD7	1
ACVR1	SMAD9	1
ACVR1B	ACVR2A	1
ACVR1B	ACVR2B	1
ACVR1B	FKBP1A	1
ACVR1B	INHBA	1
ACVR1B	INHBB	1
ACVR1B	SMAD2	1
ACVR1B	SMAD3	1
ACVR1B	SMAD4	1
ACVR1B	SMAD7	1
ACVR1B	TDGF1	1
ACVR1C	INHBB	1
ACVR1C	TDGF1	1
ACVR2A	ACVRL1	1
ACVR2A	BMP2	1
ACVR2A	BMP7	1
ACVR2A	ENG	1
ACVR2A	GDF2	1
ACVR2A	INHA	1
ACVR2A	INHBA	1
ACVR2A	INHBB	1
ACVR2A	TGFBR3	1
ACVR2B	BMP2	1
ACVR2B	BMPR1A	1
ACVR2B	ENG	1
ACVR2B	GDF11	1
ACVR2B	GDF2	1
ACVR2B	INHBA	1
ACVR2B	INHBB	1
ACVR2B	MSTN	1
ACVR2B	SMAD2	1
ACVR2B	SMAD6	1
ACVR2B	SMAD7	1
ACVRL1	CSNK2B	1
ACVRL1	ENG	1
ACVRL1	FKBP1A	1
ACVRL1	GDF2	1
ACVRL1	INHBA	1
ACVRL1	SMAD1	1
ACVRL1	TGFB1	1
ACVRL1	TGFB3	1
ACVRL1	TGFBR1	1
ACVRL1	TGFBR2	1
ADA	APRT	1
ADA	DPP4	1
ADAM10	EFNA1	1
ADAM10	EFNA2	1
ADAM10	EPHA3	1
ADAM10	TSPAN14	1
ADAM15	SH3PXD2A	1
ADAM22	DLG4	1
ADAM22	LGI1	1
ADAM28	ITGA4	1
ADAM9	MAD2L2	1
ADAMTS13	VWF	1
ADAP1	KIF13B	1
ADAR	DICER1	1
ADAR	UPF1	1
ADCY1	ADCY2	1
ADCY1	GNAI2	1
ADCY2	ADCY5	1
ADCY2	GNAS	1
ADCY5	GNAI1	1
ADCY5	GNAS	1
ADCY5	PRKACA	1
ADCY6	GNAS	1
ADCYAP1	ADCYAP1R1	1
ADCYAP1	VIPR1	1
ADD1	ADD2	1
ADD1	ADD3	1
ADH1B	ADH1C	1
ADH5	ALDH3A2	1
ADIPOQ	ADIPOR2	1
ADIPOQ	CDH13	1
ADIPOR1	APPL1	1
ADIPOR2	APPL1	1
ADM	CALCRL	1
ADORA1	GNAI2	1
ADORA1	GNB1	1
ADORA1	GNG2	1
ADORA2A	GNG2	1
ADRA1A	ADRA1B	1
ADRA1A	ADRA1D	1
ADRA1B	GNA11	1
ADRA1B	GNAQ	1
ADRA2A	GNAI1	1
ADRA2A	GNAI2	1
ADRA2A	GNB1	1
ADRA2A	GNG2	1
ADRA2B	GNAI2	1
ADRB2	ADRB3	1
ADRB2	ARRB1	1
ADRB2	ARRB2	1
ADRB2	CLTC	1
ADRB2	GNAS	1
ADRB2	GNB1	1
ADRB2	GNB2	1
ADRB2	GNB4	1
ADRB2	GNG12	1
ADRB2	GNG2	1
ADRB2	GRK5	1
ADRB2	GRK6	1
ADRB2	PTGER1	1
ADRB2	SLC9A3R1	1
ADRB2	USP20	1
ADRB2	USP33	1
ADRB3	GNAS	1
ADRM1	PSMA1	1
ADRM1	PSMA2	1
ADRM1	PSMA3	1
ADRM1	PSMA4	1
ADRM1	PSMA5	1
ADRM1	PSMA6	1
ADRM1	PSMA7	1
ADRM1	PSMB1	1
ADRM1	PSMB2	1
ADRM1	PSMB3	1
ADRM1	PSMB4	1
ADRM1	PSMB5	1
ADRM1	PSMB6	1
ADRM1	PSMB7	1
ADRM1	PSMB8	1
ADRM1	PSMC2	1
ADRM1	PSMC3	1
ADRM1	PSMC4	1
ADRM1	PSMC5	1
ADRM1	PSMC6	1
ADRM1	PSMD1	1
ADRM1	PSMD10	1
ADRM1	PSMD11	1
ADRM1	PSMD12	1
ADRM1	PSMD13	1
ADRM1	PSMD14	1
ADRM1	PSMD2	1
ADRM1	PSMD3	1
ADRM1	PSMD4	1
ADRM1	PSMD5	1
ADRM1	PSMD6	1
ADRM1	PSMD7	1
ADRM1	PSMD8	1
ADRM1	PSME1	1
ADRM1	UCHL5	1
ADRM1	USP14	1
ADSL	ATIC	1
ADSL	PAICS	1
AFF1	CDK9	1
AFF1	ELL2	1
AFF1	ELL3	1
AFF1	MLLT3	1
AFF4	CCNT1	1
AFF4	CCNT2	1
AFF4	CDK9	1
AFF4	CTR9	1
AFF4	EAF1	1
AFF4	EAF2	1
AFF4	ELL	1
AFF4	ELL2	1
AFF4	ELL3	1
AFF4	MLLT3	1
AFG3L2	PHB	1
AFG3L2	PHB2	1
AFTPH	AP1G1	1
AFTPH	AP1G2	1
AFTPH	AP1M2	1
AFTPH	AP1S2	1
AGAP2	EPB41L1	1
AGAP2	PIK3R1	1
AGER	HMGB1	1
AGER	S100A12	1
AGER	S100B	1
AGER	S100P	1
AGFG1	ARPC1A	1
AGFG1	EPS15	1
AGFG1	EPS15L1	1
AGFG1	ITSN1	1
AGFG1	VAMP7	1
AGGF1	TNFSF12	1
AGK	TIMM10B	1
AGO1	AGO2	1
AGO1	AGO3	1
AGO1	DCP2	1
AGO1	DHX9	1
AGO1	DICER1	1
AGO1	FMR1	1
AGO1	MOV10	1
AGO1	POLR2A	1
AGO1	TARBP2	1
AGO1	TNRC6A	1
AGO1	TNRC6B	1
AGO1	TNRC6C	1
AGO2	AGO3	1
AGO2	AGO4	1
AGO2	DCP2	1
AGO2	DDX6	1
AGO2	DHX9	1
AGO2	DICER1	1
AGO2	EIF4E	1
AGO2	ELAVL1	1
AGO2	GEMIN4	1
AGO2	IPO8	1
AGO2	NCBP1	1
AGO2	PRKRA	1
AGO2	TARBP2	1
AGO2	TNRC6A	1
AGO2	TNRC6B	1
AGO2	TNRC6C	1
AGO2	TP53	1
AGO3	AGO4	1
AGO3	DICER1	1
AGO3	TARBP2	1
AGO3	TNRC6A	1
AGO3	TNRC6B	1
AGO3	TNRC6C	1
AGO4	DICER1	1
AGO4	TNRC6A	1
AGO4	TNRC6B	1
AGO4	TNRC6C	1
AGPS	GNPAT	1
AGPS	PEX14	1
AGRN	DAG1	1
AGRP	MC3R	1
AGRP	MC4R	1
AGT	AGTR1	1
AGT	AGTR2	1
AGT	MME	1
AGT	REN	1
AGTR1	ARRB1	1
AGTR1	ARRB2	1
AGTR1	GNAQ	1
AGTR1	RAB5A	1
AGTR2	GNAI2	1
AGTR2	GNAI3	1
AGXT	PEX5	1
AHCY	AHCYL1	1
AHCYL1	AHCYL2	1
AHCYL1	ITPR1	1
AHI1	DCTN2	1
AHI1	IQCB1	1
AHI1	NINL	1
AHI1	NPHP1	1
AHI1	PAFAH1B1	1
AHI1	PCM1	1
AHI1	PPP2R1A	1
AHNAK	S100A10	1
AHR	AIP	1
AHR	ARNT	1
AHR	ARNT2	1
AHR	ESR1	1
AHR	HSP90AA1	1
AHR	MAF	1
AHR	PTGES3	1
AHRR	ARNT	1
AHSA1	HSP90AA1	1
AHSA1	HSP90AB1	1
AHSG	FAM20C	1
AHSP	HBA1	1
AICDA	TDG	1
AIFM1	PPIA	1
AIM2	CASP1	1
AIM2	PYCARD	1
AIMP1	AIMP2	1
AIMP1	EEF1E1	1
AIMP2	EEF1E1	1
AIP	HSP90AA1	1
AIP	HSP90AB1	1
AIP	PTGES3	1
AIPL1	NUB1	1
AJUBA	CDH1	1
AJUBA	EGLN3	1
AJUBA	RARA	1
AJUBA	RARG	1
AJUBA	VHL	1
AK2	NME2	1
AK6	KAT2B	1
AK6	TAF6L	1
AK6	USP22	1
AKAP1	MYCBP	1
AKAP1	PRKACA	1
AKAP1	PRKACB	1
AKAP1	PRKACG	1
AKAP1	PRKAR1A	1
AKAP1	PRKAR1B	1
AKAP1	PRKAR2A	1
AKAP1	PRKAR2B	1
AKAP10	PRKAR1A	1
AKAP10	PRKAR2A	1
AKAP10	PRKAR2B	1
AKAP13	PRKAR2A	1
AKAP13	PRKAR2B	1
AKAP13	RHOA	1
AKAP3	ROPN1L	1
AKAP4	PRKAR2A	1
AKAP5	IQGAP1	1
AKAP5	PRKACA	1
AKAP5	PRKACB	1
AKAP5	PRKACG	1
AKAP5	PRKAR1A	1
AKAP5	PRKAR2A	1
AKAP5	PRKAR2B	1
AKAP5	PRKCA	1
AKAP8	NCAPD2	1
AKAP8	PRKAR2A	1
AKAP8L	DHX9	1
AKAP9	CCP110	1
AKAP9	CDK5RAP2	1
AKAP9	CSNK1D	1
AKAP9	CSNK1E	1
AKAP9	DYNLL1	1
AKAP9	GRIN1	1
AKAP9	KCNQ1	1
AKAP9	MAPRE1	1
AKAP9	PCNT	1
AKAP9	PDE4DIP	1
AKAP9	PKN1	1
AKAP9	PPP1CA	1
AKAP9	PRKACA	1
AKAP9	PRKACB	1
AKAP9	PRKACG	1
AKAP9	PRKAR2A	1
AKAP9	PRKAR2B	1
AKAP9	PRKCE	1
AKAP9	TUBG1	1
AKAP9	TUBGCP2	1
AKAP9	TUBGCP3	1
AKR1B1	SORD	1
AKR1C2	AKR1C3	1
AKR7A2	AKR7A3	1
AKT1	AKT2	1
AKT1	APPL1	1
AKT1	ARNT	1
AKT1	CCDC88A	1
AKT1	CDC37	1
AKT1	CTNNB1	1
AKT1	EZH2	1
AKT1	FKBP5	1
AKT1	FOXO3	1
AKT1	HSP90AA1	1
AKT1	HSP90AB1	1
AKT1	HSPB1	1
AKT1	MAP3K5	1
AKT1	MAP3K8	1
AKT1	MDM2	1
AKT1	MTOR	1
AKT1	NOS3	1
AKT1	NR4A1	1
AKT1	PDPK1	1
AKT1	PHLPP1	1
AKT1	PHLPP2	1
AKT1	PIK3CA	1
AKT1	PIK3CB	1
AKT1	PIK3R1	1
AKT1	PPP2CA	1
AKT1	PRKDC	1
AKT1	PTEN	1
AKT1	PTPN1	1
AKT1	RAF1	1
AKT1	RICTOR	1
AKT1	RPS6KB1	1
AKT1	SIRT1	1
AKT1	SMAD3	1
AKT1	SRC	1
AKT1	TCL1A	1
AKT1	TCL1B	1
AKT1	TERT	1
AKT1	THEM4	1
AKT1	TP53	1
AKT1	TRIB3	1
AKT1	YBX1	1
AKT1S1	MLST8	1
AKT1S1	MTOR	1
AKT1S1	RPTOR	1
AKT1S1	YWHAB	1
AKT1S1	YWHAG	1
AKT1S1	YWHAH	1
AKT1S1	YWHAQ	1
AKT1S1	YWHAZ	1
AKT2	CDKN1A	1
AKT2	HSP90AA1	1
AKT2	HSP90AB1	1
AKT2	PDPK1	1
AKT2	PIK3CB	1
AKT2	PIK3CD	1
AKT2	TRIB3	1
AKTIP	HOOK1	1
AKTIP	HOOK2	1
AKTIP	HOOK3	1
ALB	FAM20C	1
ALB	FCGRT	1
ALCAM	CD6	1
ALDH1B1	HIBADH	1
ALDH2	ALDH6A1	1
ALDH4A1	GOT1	1
ALDH6A1	HIBADH	1
ALDOA	ALDOC	1
ALDOA	ENO1	1
ALDOA	ENO3	1
ALDOA	GAPDH	1
ALDOA	LDHA	1
ALDOA	PGAM2	1
ALDOA	PGK1	1
ALDOA	PKM	1
ALDOA	TALDO1	1
ALDOA	TKT	1
ALDOC	PGAM1	1
ALDOC	PGAM2	1
ALDOC	PGK1	1
ALDOC	PKM	1
ALG10	KCNH2	1
ALG10B	KCNH2	1
ALK	PTN	1
ALKBH3	ASCC1	1
ALKBH3	ASCC2	1
ALKBH3	ASCC3	1
ALKBH8	TRMT112	1
ALMS1	CENPJ	1
ALMS1	CEP135	1
ALMS1	CEP152	1
ALMS1	CEP192	1
ALMS1	CEP63	1
ALMS1	CEP97	1
ALMS1	ODF2	1
ALMS1	PLK4	1
ALOX12	PLA2G1B	1
ALOX12	PLA2G2A	1
ALOX12	PLA2G4A	1
ALOX5	ALOX5AP	1
ALOX5	COTL1	1
ALOX5	LTC4S	1
ALOX5AP	LTC4S	1
ALS2	RAC1	1
ALYREF	CHTOP	1
ALYREF	DDX39A	1
ALYREF	DDX39B	1
ALYREF	DDX5	1
ALYREF	DHX9	1
ALYREF	EFTUD2	1
ALYREF	EIF4A3	1
ALYREF	HNRNPA1	1
ALYREF	HNRNPC	1
ALYREF	HNRNPM	1
ALYREF	HNRNPU	1
ALYREF	LSM4	1
ALYREF	LSM6	1
ALYREF	LSM8	1
ALYREF	MAGOH	1
ALYREF	NCBP1	1
ALYREF	NXF1	1
ALYREF	NXT1	1
ALYREF	PCF11	1
ALYREF	PPIH	1
ALYREF	PRPF3	1
ALYREF	PRPF4	1
ALYREF	RBM15	1
ALYREF	RBM8A	1
ALYREF	SF3B4	1
ALYREF	SRRM1	1
ALYREF	SRRM2	1
ALYREF	SRRT	1
ALYREF	SRSF1	1
ALYREF	SRSF2	1
ALYREF	SRSF7	1
ALYREF	THOC1	1
ALYREF	THOC2	1
ALYREF	THOC5	1
ALYREF	THOC7	1
ALYREF	U2AF2	1
ALYREF	UPF3B	1
ALYREF	YBX1	1
ALYREF	ZC3H13	1
AMBN	FAM20C	1
AMBRA1	BECN1	1
AMBRA1	DYNLL1	1
AMBRA1	DYNLL2	1
AMBRA1	PIK3C3	1
AMDHD2	GNPDA1	1
AMDHD2	GNPDA2	1
AMELX	FAM20C	1
AMER1	APC	1
AMER1	AXIN1	1
AMER1	BTRC	1
AMER1	CTNNB1	1
AMER1	SKP1	1
AMER1	UBC	1
AMFR	DERL1	1
AMFR	DERL2	1
AMFR	NPLOC4	1
AMFR	OS9	1
AMFR	RNF5	1
AMFR	SEL1L	1
AMFR	SYVN1	1
AMFR	UBE2G2	1
AMFR	UBXN1	1
AMFR	VCP	1
AMH	AMHR2	1
AMOT	AMOTL2	1
AMOT	ARHGAP17	1
AMOT	NF2	1
AMOT	WWTR1	1
AMOT	YAP1	1
AMOTL1	WWTR1	1
AMOTL1	YAP1	1
AMOTL2	LATS2	1
AMOTL2	YAP1	1
AMPD1	AMPD2	1
AMPH	AP2A1	1
AMPH	AP2A2	1
AMPH	AP2B1	1
AMPH	AP2M1	1
AMPH	AP2S1	1
AMPH	BIN1	1
AMPH	CLTC	1
AMPH	DNM1	1
AMPH	DNM2	1
AMPH	DNM3	1
AMPH	ITSN1	1
AMPH	ITSN2	1
AMPH	NECAP1	1
AMPH	REPS1	1
AMPH	REPS2	1
AMPH	SGIP1	1
AMPH	SH3GL2	1
AMPH	SYNJ1	1
AMPH	UBC	1
AMTN	FAM20A	1
AMTN	FAM20C	1
ANAPC1	ANAPC13	1
ANAPC1	ANAPC15	1
ANAPC1	ANAPC16	1
ANAPC1	ANAPC2	1
ANAPC1	ANAPC4	1
ANAPC1	ANAPC5	1
ANAPC1	ANAPC7	1
ANAPC1	BUB1B	1
ANAPC1	BUB3	1
ANAPC1	CDC16	1
ANAPC1	CDC20	1
ANAPC1	CDC23	1
ANAPC1	CDC26	1
ANAPC1	CDC27	1
ANAPC1	FZR1	1
ANAPC1	MAD2L1	1
ANAPC1	NEK2	1
ANAPC1	SKP2	1
ANAPC1	UBE2C	1
ANAPC1	UBE2S	1
ANAPC11	ANAPC2	1
ANAPC11	ANAPC4	1
ANAPC11	CCNA2	1
ANAPC11	CCNB1	1
ANAPC11	CDC16	1
ANAPC11	CDC20	1
ANAPC11	CDC23	1
ANAPC11	CDC27	1
ANAPC11	CUL5	1
ANAPC11	FZR1	1
ANAPC11	PTTG1	1
ANAPC11	UBC	1
ANAPC11	UBE2C	1
ANAPC11	UBE2D1	1
ANAPC11	UBE2D2	1
ANAPC11	UBE2D3	1
ANAPC11	UBE2K	1
ANAPC11	UBE2S	1
ANAPC11	UBE2U	1
ANAPC13	ANAPC15	1
ANAPC13	ANAPC16	1
ANAPC13	ANAPC2	1
ANAPC13	ANAPC4	1
ANAPC13	ANAPC5	1
ANAPC13	ANAPC7	1
ANAPC13	BUB1B	1
ANAPC13	CDC16	1
